Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
59.75,142.75,-4.59,489.43,9,0.99949,0.99949
82.25,-43.75,-18.53,139.36,15,NaN,NaN
-82.25,43.75,-54.61,24.32,15,NaN,NaN
78.25,-47.75,-29.86,108.42,15,NaN,NaN
-78.25,-47.75,-22.31,220.67,15,NaN,NaN
-78.25,47.75,-55.38,52.18,15,NaN,NaN
-21.75,120.75,25.99,359.56,7,0.4196,0.4196
45.25,-104.75,6.17,392.17,10,0.67647,0.67647
45.25,104.75,2.2,107.35,10,0.30878,0.30878
-83.75,-92.25,-32.47,56.89,15,NaN,NaN
-83.75,92.25,-53.3,19.9,15,NaN,NaN
60.75,64.75,-0.47,473.49,9,1.6797,1.6797
34.25,-3.25,18.35,226.44,7,0.71261,0.71261
34.25,3.25,15.86,277.71,16,0.55616,NaN
48.75,47.25,8.48,248.56,10,0.62605,0.62605
49.75,-74.25,-0.46,978.25,17,2.0813,NaN
49.75,74.25,2.44,305.46,10,0.73746,0.73746
-25.25,122.75,22.5,226.44,7,0.25056,0.25056
-84.25,-31.75,-35.23,142.26,15,NaN,NaN
-84.25,31.75,-50.34,22.32,15,NaN,NaN
-75.25,-118.75,-20.9,520.65,15,NaN,NaN
-75.25,118.75,-51.15,83.74,15,NaN,NaN
71.75,141.25,-13.84,145.19,7,0.48507,0.48507
-71.75,141.25,-36.1,591.56,15,NaN,NaN
-34.25,144.25,17.2,333.18,10,1.0402,1.0402
68.75,-157.25,-9.88,157.56,7,0.58437,0.58437
68.75,157.25,-12.59,208.74,7,0.60919,0.60919
17.25,-94.25,25.77,1444.5,8,6.325,6.325
51.25,138.75,-0.23,557.57,5,2.5029,2.5029
56.75,-90.25,-6.5,368.95,9,0.80705,0.80705
56.75,90.25,0.12,465.66,4,2.2511,2.2511
-83.25,-46.75,-27.26,187.67,15,NaN,NaN
-83.25,46.75,-53.93,21.01,15,NaN,NaN
4.75,35.75,29.3,490.49,10,1.3733,1.3733
-4.75,35.75,20.38,752.31,10,2.1495,2.1495
-82.25,-134.25,-23.23,98.26,15,NaN,NaN
-82.25,134.25,-42.8,84.74,15,NaN,NaN
-19.25,-48.75,22.21,1446.1,10,3.4854,3.4854
19.25,48.75,29.61,99.74,16,NaN,NaN
-19.25,48.75,22.28,2401.4,8,5.8766,5.8766
18.25,-66.25,24.67,1691.5,8,6.3202,6.3202
-18.25,-66.25,10.71,539.77,10,0.74336,0.74336
14.75,24.75,24.22,250.9,16,0.36763,NaN
-14.75,24.75,20.59,923.55,8,3.3443,3.3443
40.25,52.75,14.48,127.09,17,0.33458,NaN
74.75,-42.75,-26.12,217.09,15,NaN,NaN
-74.75,42.75,-45.3,221.09,15,NaN,NaN
42.25,126.75,3.51,806.34,4,2.7574,2.7574
3.75,-73.25,26.56,3004.7,9,4.5229,4.5229
-3.75,-73.25,26.06,2909.1,2,6.8581,6.8581
10.75,17.75,28.5,788.82,10,2.5897,2.5897
-10.75,17.75,21.4,1335.8,9,4.2328,4.2328
