"value","units","time","era","variable","model","experiment","ensemble","grid","year","month"
0.381182140498646,NA,18680315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","03"
0.454828587750121,NA,18680415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","04"
0.346141814246425,NA,18680515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","05"
0.204409884240165,NA,18680615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","06"
0.209503915900744,NA,18680715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","07"
0.223289121414175,NA,18680815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","08"
0.259037890558228,NA,18680915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","09"
0.338736222441857,NA,18681015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","10"
0.636852379195652,NA,18681115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","11"
0.62657837323427,NA,18681215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1868","12"
0.420523075018433,NA,18690115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","01"
0.328010585140814,NA,18690214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","02"
0.333374769583256,NA,18690315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","03"
0.416409746718847,NA,18690415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","04"
0.344149999336583,NA,18690515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","05"
0.218331993657781,NA,18690615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","06"
0.218090879722144,NA,18690715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","07"
0.228441226507345,NA,18690815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","08"
0.262207945855399,NA,18690915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","09"
0.36154993017387,NA,18691015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","10"
0.604072945770929,NA,18691115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","11"
0.668213255956254,NA,18691215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1869","12"
0.455932097085399,NA,18700115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","01"
0.302437487297293,NA,18700214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","02"
0.29242803757153,NA,18700315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","03"
0.446426658252583,NA,18700415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","04"
0.374801775863873,NA,18700515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","05"
0.227858392393299,NA,18700615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","06"
0.213342234656915,NA,18700715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","07"
0.22367807726009,NA,18700815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","08"
0.270677385495693,NA,18700915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","09"
0.349997525630697,NA,18701015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","10"
0.559236263413657,NA,18701115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","11"
0.615099916546726,NA,18701215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1870","12"
0.453357332343708,NA,18710115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","01"
0.323000165626585,NA,18710214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1871","02"
